Region: Atlantic ->  [Oceanic Whitetip Shark, Shortfin Mako Shark]
Region: Central Atlantic ->  [Blue Shark]
Region: Central Pacific ->  [Blue Shark, Great White Shark, Silky Shark, Spiny Dogfish, Whitetip Reef Shark]
Region: Circumtropical ->  [Eagle Ray]
Region: Eastern Atlantic ->  [Basking Shark, Blue Shark, Bull Shark, Great Hammerhead Shark, Great White Shark, Nurse Shark, Silky Shark, Spiny Dogfish]
Region: Eastern Indian Ocean ->  [Spiny Dogfish]
Region: Eastern North Atlantic ->  [Lemon Shark, Tiger Shark]
Region: Eastern North Pacific ->  [Californian Angel Shark]
Region: Eastern Pacific ->  [Basking Shark, Blue Shark, Bull Shark, Great White Shark, Horn Shark, Lemon Shark, Nurse Shark, Silky Shark, Silvertip Shark, Spiny Dogfish, Swell Shark, Tiger Shark, Whitetip Reef Shark]
Region: Indian Ocean ->  [Blue Shark, Bowmouth Guitarfish, Grey Reef Shark, Oceanic Whitetip Shark, Shortfin Mako Shark, Silky Shark, Tiger Shark, Variegated Shark]
Region: Indo-Pacific ->  [Great Hammerhead Shark, Whitetip Reef Shark]
Region: Pacific ->  [Oceanic Whitetip Shark, Shortfin Mako Shark]
Region: Western Atlantic ->  [Basking Shark, Blacknose Shark, Blue Shark, Bull Shark, Caribbean Reef Shark, Great Hammerhead Shark, Great White Shark, Lemon Shark, Nurse Shark, Silky Shark, Southern Stingray, Spiny Dogfish, Tiger Shark]
Region: Western Central Pacific ->  [Grey Reef Shark, Silvertip Shark, Tiger Shark]
Region: Western Indian Ocean ->  [Basking Shark, Bull Shark, Great White Shark, Silvertip Shark]
Region: Western Pacific ->  [Basking Shark, Blue Shark, Bowmouth Guitarfish, Bull Shark, Great White Shark, Silky Shark, Spiny Dogfish, Tiger Shark, Variegated Shark]
Region: Western South Pacific ->  [Tasselled Wobegong Shark]
